timestamp_utc,signal_type,signal_text
2026-05-27T01:45:33.922321+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T01:50:34.180156+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T01:55:33.807728+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T02:00:35.889192+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T02:05:35.788800+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T02:10:43.960667+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T02:15:47.952037+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T02:20:51.590997+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T02:25:53.073509+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T02:30:54.725774+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T02:35:54.812271+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T02:41:01.677023+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T02:46:04.889065+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T02:51:05.947540+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T02:56:10.863098+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T03:01:15.499868+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T03:06:15.970702+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T03:11:17.265982+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T03:16:19.921688+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T03:21:23.656276+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T03:26:25.171895+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T03:31:29.364159+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T03:36:32.706677+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T03:41:39.365227+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T03:46:42.869916+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T03:51:51.370684+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T03:56:50.589074+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T04:01:53.533448+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T04:06:54.237913+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T04:11:57.005204+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T04:17:00.295500+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T04:22:01.201832+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T04:27:03.688895+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T04:32:04.243347+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T04:37:04.288205+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T04:42:05.309996+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T04:47:06.738002+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T04:52:07.341665+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T04:57:12.766491+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T05:02:10.912446+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T05:07:10.395284+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T05:12:14.826015+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T05:17:17.236384+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T05:22:18.722684+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T05:27:25.671860+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T05:32:26.706627+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T05:37:26.978901+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T05:42:32.358851+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T05:47:34.654956+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T05:52:40.417474+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T05:57:44.637635+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T06:02:53.273615+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T06:07:51.975892+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T06:12:54.231618+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T06:17:56.924838+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T06:23:04.590286+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T06:28:05.381496+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T06:33:13.752641+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T06:38:15.062844+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T06:43:18.849813+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T06:48:25.014504+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T06:53:31.466544+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T06:58:33.430707+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T07:03:36.513111+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T07:08:38.982539+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T07:13:42.734902+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T07:18:46.521938+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T07:23:47.050881+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T07:28:51.430358+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T07:33:55.686294+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T07:38:57.404435+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T07:43:59.438665+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T07:48:59.828538+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T07:54:04.042002+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T07:59:05.455070+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
2026-05-27T08:04:06.018897+00:00,upside_gate_test,Price reached or exceeded upside gate 72641
